0,1,2,3
3,2,327.1735477,5.38124
4,2,343.1684623,5.08142
3,2,391.0684097,5.83532
3,2,391.0684097,5.83532
3,2,331.1484758,5.21192
3,2,355.2048478,6.19622
3,2,347.1189253,5.72622
3,2,331.1484758,5.21192
2,2,312.1626486,5.67782
2,2,346.1236763,6.33122
3,2,342.1732133,5.68642
2,2,326.1782987,5.98624
5,2,357.1477268,5.58602
2,2,250.1469986,4.64942
2,2,362.1782987,6.83102
3,3,370.2045135,5.60272
2,2,346.1236763,6.33122
2,2,380.0847039,6.98462
3,2,376.134241,6.33982
2,2,360.1393264,6.63964
3,2,376.134241,6.33982
2,2,332.1080262,6.0228
19,8,896.3626069,2.64574
20,9,909.3578558,2.27541
21,9,1009.446671,3.32234
23,10,1122.530735,3.99894
21,6,836.2864647,3.73224
1,0,156.0575149,2.6523
2,1,122.0367794,1.2047
2,1,277.8578036,2.7297
2,1,172.0524295,2.3579
2,0,186.0680796,2.6609
3,1,217.1102787,1.9035
6,0,330.1579572,1.9775
8,3,475.3046214,3.5882
10,4,524.2634849,1.8748
10,5,524.2634849,2.0042
10,4,510.2478348,1.4847
10,4,538.2791349,2.2649
10,4,552.294785,2.5109
10,4,586.2791349,3.1687
10,3,538.2791349,2.217
10,3,550.2791349,2.3611
12,4,577.2536485,2.1567
11,4,540.2583995,2.0947
11,4,553.290034,2.0099
10,3,552.294785,2.6071
9,3,543.2403069,2.5073
10,4,766.3730353,6.6272
11,4,582.3053497,3.2634
4,1,204.0422587,1.61952
4,1,306.0892089,3.8115
6,0,344.1736072,2.3676
7,2,303.0742871,1.7233
7,2,317.0899372,1.7658
7,2,331.1055873,2.1559
7,2,345.1212373,2.546
7,1,329.0899372,1.9918
7,1,343.1055873,2.3819
7,1,357.1212373,2.772
7,0,343.1055873,2.2948
7,0,419.1368874,3.8652
5,1,335.115758,2.8694
5,1,353.1063362,3.0085
5,1,299.115758,2.2453
7,4,287.0906059,0.56267
8,0,373.1161519,2.2689
5,1,259.0844579,1.299
6,1,287.0793725,1.2157
14,4,715.321728,4.5262
15,4,779.3166426,4.7314
11,4,720.3522999,4.7175
6,3,268.0136746,1.8294
11,2,537.2587338,1.57232
13,4,598.2551257,0.17042
11,4,515.2180119,0.71202
11,4,549.2023618,1.41442
13,4,570.2238256,-0.46728
11,3,529.233662,1.05422
13,4,584.2394756,-0.07718
11,3,563.2180119,1.75662
10,4,524.2634849,1.8748
12,3,611.2755268,1.76952
13,4,544.2081755,-0.99988
6,2,340.1423071,1.8392
12,3,583.2442266,0.98932
11,4,600.3522999,3.1501
1,0,187.1360995,2.1826
5,2,229.1314081,0.8972
2,1,205.1233419,1.5259
1,0,203.1440774,2.9436
5,2,265.1080858,1.3174
5,2,251.0924357,0.9273
1,0,273.2223277,4.8925
1,0,245.1910276,4.1123
1,0,175.1127773,2.1618
1,0,147.0814771,1.3816
2,1,205.1233419,1.5243
1,0,203.1440774,2.942
1,0,161.0971272,1.7733
1,0,189.1284273,2.5519
5,2,480.1694484,4.1142
5,2,498.1600266,4.2063
5,2,512.1756766,4.5948
5,2,576.0705386,4.9289
3,3,162.0793129,0.5085
4,3,192.0898776,0.6823
4,3,192.0898776,0.8532
4,3,178.0742276,0.2922
4,2,192.0898776,0.4644
4,3,212.0352552,0.9456
4,3,246.0616122,1.311
4,3,246.0616122,1.311
4,3,192.0898776,0.60062
4,3,196.0648057,0.4313
4,3,192.0898776,0.60062
4,3,212.0352552,0.9456
5,3,208.0847922,0.3008
4,3,192.0898776,0.60062
5,3,208.0847922,0.3008
4,3,192.0898776,0.60062
4,3,212.0352552,0.9456
4,3,196.0648057,0.4313
5,3,208.0847922,0.3008
4,3,212.0352552,0.9456
4,3,178.0742276,0.2922
4,3,246.0616122,1.311
3,3,129.0789786,0.3645
3,3,141.0789786,0.3645
3,3,141.0789786,0.3645
3,3,141.0789786,0.3645
3,3,141.0789786,0.3645
2,2,70.05309819,-0.14122
6,3,258.1116757,0.537
6,3,244.0960256,0.4779
6,3,244.0960256,0.4779
5,3,298.1317424,1.8916
6,3,182.0803756,-0.9743
6,3,272.1273258,0.6165
7,3,302.1378904,0.6251
6,3,326.0990603,1.5558
6,3,258.1116757,0.537
5,3,423.0961391,5.0255
6,3,367.1098974,1.9092
7,4,399.0985837,3.7049
3,2,236.0716407,2.7544
3,2,138.0793129,0.5489
5,2,359.1633769,3.5311
2,2,212.0328106,1.9809
5,3,369.1244046,3.6844
5,3,493.0838602,5.9179
6,3,417.1067038,2.98
3,2,206.1419132,2.2518
6,3,337.1193192,2.1306
6,3,435.097282,2.928
6,3,394.1616606,3.6344
