0,1,2,3
11,4,720.3127606,5.9052
3,4,307.2511293,3.2043
14,5,748.5085257,1.9007
9,4,628.3624706,4.32814
10,4,547.2352215,2.3753
5,1,476.0769258,5.177
4,2,335.1764401,3.783
5,3,374.2093241,1.8036
6,1,306.1592946,3.46638
5,3,392.1999022,1.8957
9,5,244.0807695,-3.0115
6,1,258.0640568,0.0878
3,4,375.9785874,3.1869
8,2,493.2590086,4.59032
39,15,1134.006995,-10.7119
9,4,398.1590198,0.9846
2,1,206.1306798,3.0732
7,7,347.1382248,2.24797
7,1,399.1681875,2.8716
7,1,399.1681875,2.8716
3,1,375.1070852,5.85362
3,2,325.2041791,3.7688
13,7,543.1900026,2.62362
4,2,252.0898776,1.7696
6,0,246.0231802,-0.281
3,0,284.0716407,3.1538
7,4,296.9644754,-0.3513
6,3,365.0600901,2.0834
1,0,313.1597274,4.5904
2,1,314.2245802,5.7358
6,4,290.1033348,0.2339
2,1,302.1549764,3.9546
2,0,300.1393264,3.5057
4,1,296.1291556,2.2253
2,0,162.1156984,1.8483
3,0,176.094963,1.3749
2,0,371.2249145,5.9961
4,1,326.1298243,3.7227
3,1,193.1102787,1.5657
3,2,151.0633285,1.3506
4,0,308.0828741,3.58012
5,0,361.1314081,4.1124
2,1,310.1932801,5.72782
6,1,315.0410689,3.0377
3,1,270.0559907,3.1295
1,2,135.1047994,1.5763
4,2,236.1524779,0.1618
3,2,281.0663632,4.1472
6,0,313.0862695,2.5477
3,0,247.1572289,2.2131
4,2,286.0509053,2.4479
2,1,288.2089301,3.8792
4,0,384.2300595,4.5753
2,0,345.1859422,4.7138
7,1,520.2227812,4.0868
6,0,483.1157538,3.9109
5,2,509.1427571,6.497
1,0,299.0302258,4.3816
3,1,229.0869564,1.9875
3,2,215.0713064,1.7268
27,9,1215.569957,5.0802
7,4,363.1347928,1.7663
2,2,166.033147,1.2483
4,2,242.1088988,1.3499
5,1,316.1553703,1.9538
10,5,417.1569712,1.1065
2,1,397.2172423,5.2666
5,0,395.1863361,3.8598
3,1,342.1306756,0.12244
3,2,390.8906783,3.3909
10,5,915.4566884,8.5374
2,1,136.0524295,1.3137
3,3,167.0946287,0.902
5,2,184.0847922,0.1588
4,1,315.000724,2.6336
4,0,294.067224,3.2717
8,4,1139.512024,6.8482
6,4,218.1266571,0.9834
2,2,165.1153641,1.5426
3,2,204.1262631,1.9776
5,2,238.1317424,1.3511
6,6,368.1769784,2.4998
6,6,368.1769784,2.4998
2,1,244.1939488,3.8324
1,0,243.1986998,4.3319
4,2,209.1051933,1.3136
1,1,339.0250753,3.642
8,1,316.117155,0.3555
12,7,558.15645,3.4006
1,1,185.0971272,2.2588
8,0,622.3042871,7.1624
3,0,325.111253,3.725
9,3,312.0869977,-0.9521
11,11,423.1641648,-0.0009
4,0,382.2144094,6.0048
5,2,357.0004625,1.3815
16,5,684.3595105,1.2925
15,4,963.489462,5.896
5,0,303.1470582,1.8677
2,1,302.2245802,5.9927
2,1,199.0763917,1.899
4,0,380.1987594,6.0482
2,2,337.2439357,5.5591
5,2,503.2802365,4.8356
5,2,218.0248944,0.2407
12,8,500.1478035,0.42704
17,9,486.8293617,-7.7532
4,3,342.2074059,3.49364
4,1,299.1521435,1.5011
5,1,351.1237359,1.47
7,4,229.9289786,-5.8999
9,2,838.3651731,11.32862
11,5,851.381153,6.7119
11,7,824.2318174,6.1269
7,1,825.3329716,11.9925
12,6,554.0646852,2.71302
9,3,827.4208743,9.4739
28,8,1197.254069,6.3655
6,3,454.3307766,4.90536
10,4,794.4506169,5.7152
15,5,843.3722394,6.428
12,4,607.168869,2.2659
19,18,859.45903,-4.4001
25,7,882.2266778,2.2924
24,10,1720.601906,12.7766
53,23,2349.92845,-0.93329
12,6,668.2403665,1.7434
14,9,657.25022,1.0469
7,1,654.2617536,9.2968
21,3,839.1979039,-6.0942
