inhibitor_id,warhead,site,gene,smiles
CI004553,Sulfonyl fluoride,TYR-58,BCL6,CNC(=O)COc1cc2cc(Nc3nc(NCc4cccc(S(=O)(=O)F)c4)ncc3Cl)cc(OC)c2n(C)c1=O
CI004554,Sulfonyl fluoride,TYR-58,BCL6,O=C1Cc2cc(Nc3nc(NCc4cccc(S(=O)(=O)F)c4)ncc3Cl)ccc2N1
CI004180,Halohydrocarbon,TYR-406,Not Available,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)CCO
CI004183,Halohydrocarbon,TYR-406,Not Available,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@@H](C)O
CI004186,Halohydrocarbon,TYR-406,Not Available,CC(=O)N[C@@H]1C[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
CI004188,Halohydrocarbon,TYR-406,Not Available,CC(=O)N[C@H]1[C@H](C[C@H](O)CO)O[C@@](F)(C(=O)O)[C@H](F)[C@@H]1O
CI004195,Halohydrocarbon,TYR-406,Not Available,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
CI004523,Sulfonyl fluoride,TYR-227,SRPK1,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
CI004570,Halohydrocarbon,TYR-108,PKN3,C#CCCCN(c1nc(Cl)nc(Cl)n1)[C@@H](CC(C)C)C(=O)OC
CI001769,Diazirine,TYR-10,APP,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(C3(C(F)(F)F)N=N3)cc2)NC(=O)[C@H](C(c2ccccc2)c2ccccc2)NC(=O)[C@H](C(C)C)NC1=O
CI002938,Epoxide,TYR,Not Available,O=C(O)[C@H]1O[C@@H]1c1ccc(F)cc1
CI002939,Epoxide,TYR,Not Available,O=C(O)[C@H]1O[C@@H]1c1ccccc1
CI002940,Epoxide,TYR,Not Available,COc1ccc([C@H]2O[C@@H]2C(=O)O)cc1
CI000102,Aldehydic carbonyl,THR-1,PSMB9,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
CI001912,Aldehydic carbonyl,THR-1,PSMB9,CC(C)C[C@@H](C=O)NC(=O)[C@@H]1Cc2ccc(cc2)Oc2cc(ccc2[N+](=O)[O-])C[C@H](NC(=O)OCc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N1
CI001913,Aldehydic carbonyl,THR-1,PSMB9,COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)OCc3ccccc3)Cc3ccc([N+](=O)[O-])c(c3)Oc3ccc(cc3)C[C@@H](C(=O)N[C@H](C=O)CC(C)C)NC2=O)cc1
CI001914,Aldehydic carbonyl,THR-1,PSMB9,COc1ccc(C[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C=O)CC(C)C)cc1
CI000448,Lactone ,THR-1,PSMB9,CC[C@H]1C(=O)N[C@@]2([C@@H](O)[C@@H]3C=CCCC3)C(=O)O[C@@]12C
CI000456,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCI
CI000471,Lactone ,THR-1,PSMB9,CCC[C@H]1C(=O)N[C@@]2([C@@H](O)[C@@H]3C=CCCC3)C(=O)O[C@@]12C
CI000472,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCCl
CI000601,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCBr
CI000707,Lactone ,THR-1,PSMB9,C[C@H]1C(=O)N[C@@]2([C@@H](O)[C@@H]3C=CCCC3)C(=O)O[C@@]12C
CI000732,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCF
CI000745,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCOS(C)(=O)=O
CI000771,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1C[C@H](NC(=O)[C@H](C)N)C(=O)O
CI000776,Lactone ,THR-1,PSMB9,Cc1ccc(S(=O)(=O)OCC[C@H]2C(=O)N[C@@]3([C@@H](O)[C@@H]4C=CCCC4)C(=O)O[C@@]23C)cc1
CI000777,Lactone ,THR-1,PSMB9,CN(C)c1cccc2c(S(=O)(=O)OCC[C@H]3C(=O)N[C@@]4([C@@H](O)[C@@H]5C=CCCC5)C(=O)O[C@@]34C)cccc12
CI001366,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1C[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)OCc1ccccc1
CI001367,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1C[C@@H](CCc1ccccc1)NC(=O)c1ccc2ccccc2c1
CI001368,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1C[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)c1ccc2ccccc2c1
CI001383,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@@H](C)[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)OCc1ccccc1
CI001384,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@H](C)[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)OCc1ccccc1
